STATUS, PID, STARTED_AT, MEMORY, SWAP, MGMT_IP
running,8596,2019-12-06T18:18:07.851530191Z,0,0,188.0.0.101
running,11492,2019-12-06T18:31:19.667773131Z,0,0,188.0.0.110
